Image,Weed Pixels,Total Pixels,Weed %,Healthy %
DJI_DateTime_2024_06_04_09_14_0017_lat_10.3015244_lon_105.2718290_alt_20.243m.png,262951,1228800,21.4,78.6
DJI_DateTime_2024_06_04_09_14_0018_lat_10.3015725_lon_105.2717978_alt_20.207m.png,228318,1228800,18.58,81.42
DJI_DateTime_2024_06_04_09_15_0019_lat_10.3016196_lon_105.2717662_alt_20.199m.png,255997,1228800,20.83,79.17
DJI_DateTime_2024_06_04_09_15_0020_lat_10.3016678_lon_105.2717347_alt_20.185m.png,249650,1228800,20.32,79.68
DJI_DateTime_2024_06_04_09_15_0021_lat_10.3017146_lon_105.2717043_alt_20.174m.png,240766,1228800,19.59,80.41
DJI_DateTime_2024_06_04_09_15_0022_lat_10.3017625_lon_105.2716735_alt_20.181m.png,193415,1228800,15.74,84.26
DJI_DateTime_2024_06_04_09_15_0024_lat_10.3018574_lon_105.2716103_alt_20.211m.png,152621,1228800,12.42,87.58
DJI_DateTime_2024_06_04_09_15_0025_lat_10.3019049_lon_105.2715784_alt_20.205m.png,117583,1228800,9.57,90.43
DJI_DateTime_2024_06_04_09_15_0026_lat_10.3019527_lon_105.2715472_alt_20.217m.png,128033,1228800,10.42,89.58
DJI_DateTime_2024_06_04_09_15_0027_lat_10.3020010_lon_105.2715153_alt_20.212m.png,97487,1228800,7.93,92.07
DJI_DateTime_2024_06_04_09_15_0035_lat_10.3020989_lon_105.2715552_alt_20.226m.png,17748,1228800,1.44,98.56
DJI_DateTime_2024_06_04_09_16_0036_lat_10.3020512_lon_105.2715861_alt_20.191m.png,55015,1228800,4.48,95.52
DJI_DateTime_2024_06_04_09_16_0037_lat_10.3020034_lon_105.2716173_alt_20.172m.png,87592,1228800,7.13,92.87
DJI_DateTime_2024_06_04_09_16_0038_lat_10.3019551_lon_105.2716485_alt_20.193m.png,137007,1228800,11.15,88.85
DJI_DateTime_2024_06_04_09_16_0039_lat_10.3019069_lon_105.2716799_alt_20.215m.png,241326,1228800,19.64,80.36
DJI_DateTime_2024_06_04_09_16_0040_lat_10.3018593_lon_105.2717119_alt_20.326m.png,426420,1228800,34.7,65.3
DJI_DateTime_2024_06_04_09_16_0041_lat_10.3018122_lon_105.2717432_alt_20.312m.png,512024,1228800,41.67,58.33
DJI_DateTime_2024_06_04_09_16_0042_lat_10.3017648_lon_105.2717751_alt_20.307m.png,605787,1228800,49.3,50.7
DJI_DateTime_2024_06_04_09_16_0043_lat_10.3017170_lon_105.2718063_alt_20.193m.png,484469,1228800,39.43,60.57
DJI_DateTime_2024_06_04_09_16_0044_lat_10.3016696_lon_105.2718376_alt_20.206m.png,514316,1228800,41.86,58.14
DJI_DateTime_2024_06_04_09_16_0045_lat_10.3016208_lon_105.2718690_alt_20.224m.png,552422,1228800,44.96,55.04
DJI_DateTime_2024_06_04_09_16_0046_lat_10.3015734_lon_105.2719004_alt_20.210m.png,546830,1228800,44.5,55.5
DJI_DateTime_2024_06_04_09_16_0047_lat_10.3015259_lon_105.2719314_alt_20.177m.png,547545,1228800,44.56,55.44
DJI_DateTime_2024_06_04_09_16_0048_lat_10.3014783_lon_105.2719639_alt_20.239m.png,506104,1228800,41.19,58.81
DJI_DateTime_2024_06_04_09_16_0049_lat_10.3014306_lon_105.2719956_alt_20.219m.png,501918,1228800,40.85,59.15
DJI_DateTime_2024_06_04_09_16_0050_lat_10.3013831_lon_105.2720264_alt_20.212m.png,514448,1228800,41.87,58.13
DJI_DateTime_2024_06_04_09_16_0051_lat_10.3013355_lon_105.2720578_alt_20.212m.png,432271,1228800,35.18,64.82
DJI_DateTime_2024_06_04_09_16_0052_lat_10.3012875_lon_105.2720893_alt_20.257m.png,335930,1228800,27.34,72.66
DJI_DateTime_2024_06_04_09_17_0053_lat_10.3012401_lon_105.2721211_alt_20.198m.png,220179,1228800,17.92,82.08
DJI_DateTime_2024_06_04_09_17_0054_lat_10.3011925_lon_105.2721531_alt_20.239m.png,167100,1228800,13.6,86.4
DJI_DateTime_2024_06_04_09_17_0055_lat_10.3011447_lon_105.2721838_alt_20.146m.png,98629,1228800,8.03,91.97
DJI_DateTime_2024_06_04_09_17_0056_lat_10.3010966_lon_105.2722156_alt_20.203m.png,115748,1228800,9.42,90.58
DJI_DateTime_2024_06_04_09_17_0057_lat_10.3010487_lon_105.2722472_alt_20.224m.png,46908,1228800,3.82,96.18
DJI_DateTime_2024_06_04_09_17_0058_lat_10.3010012_lon_105.2722782_alt_20.197m.png,23364,1228800,1.9,98.1
DJI_DateTime_2024_06_04_09_17_0061_lat_10.3008618_lon_105.2723763_alt_20.210m.png,14520,1228800,1.18,98.82
DJI_DateTime_2024_06_04_09_17_0067_lat_10.3011335_lon_105.2722954_alt_20.220m.png,72048,1228800,5.86,94.14
DJI_DateTime_2024_06_04_09_17_0068_lat_10.3011816_lon_105.2722632_alt_20.232m.png,149805,1228800,12.19,87.81
DJI_DateTime_2024_06_04_09_17_0069_lat_10.3012291_lon_105.2722318_alt_20.217m.png,128008,1228800,10.42,89.58
DJI_DateTime_2024_06_04_09_17_0070_lat_10.3012765_lon_105.2722004_alt_20.182m.png,186402,1228800,15.17,84.83
DJI_DateTime_2024_06_04_09_18_0071_lat_10.3013249_lon_105.2721684_alt_20.203m.png,264449,1228800,21.52,78.48
DJI_DateTime_2024_06_04_09_18_0072_lat_10.3013729_lon_105.2721368_alt_20.197m.png,299526,1228800,24.38,75.62
DJI_DateTime_2024_06_04_09_18_0073_lat_10.3014197_lon_105.2721057_alt_20.203m.png,417654,1228800,33.99,66.01
DJI_DateTime_2024_06_04_09_18_0074_lat_10.3014673_lon_105.2720743_alt_20.168m.png,541347,1228800,44.05,55.95
DJI_DateTime_2024_06_04_09_18_0075_lat_10.3015155_lon_105.2720421_alt_20.200m.png,524925,1228800,42.72,57.28
DJI_DateTime_2024_06_04_09_18_0076_lat_10.3015632_lon_105.2720113_alt_20.208m.png,651851,1228800,53.05,46.95
DJI_DateTime_2024_06_04_09_18_0077_lat_10.3016106_lon_105.2719794_alt_20.186m.png,647578,1228800,52.7,47.3
DJI_DateTime_2024_06_04_09_18_0078_lat_10.3016587_lon_105.2719481_alt_20.214m.png,643100,1228800,52.34,47.66
DJI_DateTime_2024_06_04_09_18_0079_lat_10.3017056_lon_105.2719171_alt_20.172m.png,570771,1228800,46.45,53.55
DJI_DateTime_2024_06_04_09_18_0080_lat_10.3017541_lon_105.2718854_alt_20.168m.png,571920,1228800,46.54,53.46
DJI_DateTime_2024_06_04_09_18_0081_lat_10.3018015_lon_105.2718541_alt_20.194m.png,584167,1228800,47.54,52.46
DJI_DateTime_2024_06_04_09_18_0082_lat_10.3018489_lon_105.2718225_alt_20.220m.png,509790,1228800,41.49,58.51
DJI_DateTime_2024_06_04_09_18_0083_lat_10.3018969_lon_105.2717908_alt_20.251m.png,335190,1228800,27.28,72.72
